Dish Name,Cuisine Type,Channels,KunFoods Video,KunFoods Link,FoodfusionPk Video,FoodfusionPk Link
Special Mutton Pulao Recipe By Food Fusion (Bakra Eid Special),Indian/Pakistani,1 channel,-,-,Special Mutton Pulao Recipe By Food Fusion (Bakra Eid Special),https://www.youtube.com/watch?v=a0T-TSVuy3Y
Special Pulao Biryani Recipe,Indian/Pakistani,1 channel,-,-,Special Pulao Biryani Recipe By Food Fusion,https://www.youtube.com/watch?v=JkKiWUsYNII
Special Raan Roast Recipe,Indian/Pakistani,1 channel,-,-,Special Raan Roast Recipe by Food Fusion,https://www.youtube.com/watch?v=tLUtmkWE674
Special Shami Kabab Make & Freeze Ramadan Special Recipe,Indian/Pakistani,1 channel,-,-,Special Shami Kabab Make & Freeze Ramadan Special Recipe By Food Fusion,https://www.youtube.com/watch?v=6eoB7lLbnwM
Special Tawa Chicken Recipe,Indian/Pakistani,1 channel,-,-,Special Tawa Chicken Recipe By Food Fusion,https://www.youtube.com/watch?v=tDGDi5_ZPwA
Special Tawa Kabab Recipe,Indian/Pakistani,1 channel,-,-,Special Tawa Kabab Recipe by Food Fusion,https://www.youtube.com/watch?v=CYSKFqh9fUM
Special White Biryani Recipe,Indian/Pakistani,1 channel,-,-,Special White Biryani Recipe By Food Fusion,https://www.youtube.com/watch?v=pOiNWaQHpkc
Special White Sauce Pasta with Mushrooms Recipe,Continental,1 channel,-,-,Special White Sauce Pasta with Mushrooms Recipe by Food Fusion,https://www.youtube.com/watch?v=inFbRiUU_Ls
Special Zarda Recipe,Indian/Pakistani,1 channel,-,-,Special Zarda Recipe by Food Fusion,https://www.youtube.com/watch?v=gUrWTVTtPH8
Spices Masterclass,Indian/Pakistani,1 channel,Spices Masterclass | How to use spices in cooking,https://www.youtube.com/watch?v=JiC0Io3-r_8,-,-
Spicy & Saucy Drumsticks Recipe,Indian/Pakistani,1 channel,-,-,Spicy & Saucy Drumsticks Recipe By Food Fusion,https://www.youtube.com/watch?v=MKJ_tcvGGUI
Spicy Aloo Nimco/chivda Recipe,Indian/Pakistani,1 channel,-,-,Spicy Aloo Nimco/chivda Recipe By Food Fusion,https://www.youtube.com/watch?v=gKr6C0MX4O8
Spicy BBQ Chicken Wings Recipe,Continental,1 channel,-,-,Spicy BBQ Chicken Wings Recipe by Food Fusion,https://www.youtube.com/watch?v=MIG41ij6lPw
Spicy Beef Cheese Tawa Burger Recipe,Continental,1 channel,-,-,Spicy Beef Cheese Tawa Burger Recipe By Food Fusion,https://www.youtube.com/watch?v=C3RJBbCF73Y
