Video Title,Dish Name,YouTube Link,Cuisine Type
Sunrise Layered Parfait Recipe by Food Fusion,Sunrise Layered Parfait Recipe,https://www.youtube.com/watch?v=KqUniDabXIQ,Pakistani
Mutton Madhbi Rice Recipe By Food Fusion,Mutton Madhbi Rice Recipe,https://www.youtube.com/watch?v=n_ol1CfY5QM,Pakistani
Crispy Milk Donuts Recipe By Food Fusion,Crispy Milk Donuts Recipe,https://www.youtube.com/watch?v=Ss9BClbBHYs,Continental
Crispy Beef Tacos Recipe By Food Fusion,Crispy Beef Tacos Recipe,https://www.youtube.com/watch?v=qH7koVVFRZA,Pakistani
Must Try Summer Coolers Recipes by Food Fusion,Must Try Summer Coolers Recipes,https://www.youtube.com/watch?v=wN_Dl_KYVE0,Pakistani
Tom & Jerry Cheesecake Recipe By Food Fusion,Tom & Jerry Cheesecake Recipe,https://www.youtube.com/watch?v=sG8HKFnc_f4,Continental
White Kabab Masala Recipe by Food Fusion,White Kabab Masala Recipe,https://www.youtube.com/watch?v=b335YrncFp0,Pakistani
Raw Mango Squash Recipe By Food Fusion (Summer Special),Raw Mango Squash Recipe By Food Fusion (Summer Special),https://www.youtube.com/watch?v=JXEQGQI2_fE,Pakistani
Pakistani Style Chicken Mandi Recipe By Asad Memon - Food Fusion,Pakistani Style Chicken Mandi Recipe By Asad Memon,https://www.youtube.com/watch?v=FKUxXw4fXdw,Arabic/Mediterranean
Polet au Tarragon Recipe by Food Fusion,Polet au Tarragon Recipe,https://www.youtube.com/watch?v=9NWctQgTzXk,Pakistani
Bisca Magic Milkshake Recipe by Asad Memon-Food Fusion,Bisca Magic Milkshake Recipe by Asad Memon,https://www.youtube.com/watch?v=1VRfowipyq0,Pakistani
Bread Kunafa Recipe by Food Fusion,Bread Kunafa Recipe,https://www.youtube.com/watch?v=uxOWRsKlPts,Arabic/Mediterranean
Summer Special Kulfi Recipes by Food Fusion,Summer Special Kulfi Recipes,https://www.youtube.com/watch?v=7ZudD3QeuDY,Pakistani
Arabian Luqaimat (Crispy Sweet Balls) Recipe by Food Fusion,Arabian Luqaimat (Crispy Sweet Balls) Recipe,https://www.youtube.com/watch?v=CJwVS3xQXWo,Pakistani
